book_id,chap_num,term_str,n
1,1,ropes,1
1,1,rory,3
1,1,rose,4
1,1,round,7
1,1,rouse,1
1,1,row,3
1,1,ruefully,1
1,1,rule,1
1,1,rumour,3
1,1,rumours,2
1,1,run,1
1,1,rune,1
1,1,running,1
1,1,rustle,1
1,1,s,52
1,1,sacks,1
1,1,sackville,13
1,1,safe,4
1,1,safest,1
1,1,said,74
1,1,sailing,1
1,1,sale,1
1,1,sam,4
1,1,same,7
1,1,sancho,2
1,1,sandyman,3
1,1,sang,1
1,1,sat,4
1,1,saw,4
1,1,say,28
1,1,saying,3
1,1,says,3
1,1,scabbard,1
1,1,scarf,1
1,1,scarlet,1
1,1,scattered,1
1,1,scent,1
1,1,scintillating,1
1,1,score,1
1,1,scowled,1
1,1,scraped,1
1,1,sealed,1
1,1,search,1
1,1,second,3
1,1,secondly,1
1,1,secret,4
1,1,secrets,1
1,1,see,20
1,1,seeing,1
1,1,seem,4
1,1,seemed,6
1,1,seeming,1
1,1,seemingly,1
1,1,seems,1
1,1,seen,6
1,1,seized,1
1,1,seizing,1
1,1,seldom,2
1,1,selected,1
1,1,selection,2
1,1,send,1
1,1,september,4
1,1,serious,1
1,1,served,1
1,1,set,3
1,1,seven,1
1,1,several,5
1,1,shadow,2
