book_id,chap_num,term_str,n,tfidf
1,1,flabbergasted,1,0.0005932246996499825
1,1,flags,1,0.00033568135993481313
1,1,flames,1,0.00017776938417301614
1,1,flash,2,0.0002978508900567058
1,1,flashed,1,0.00017776938417301614
1,1,flat,1,0.00011426137175742464
1,1,flew,2,0.0004971136179634508
1,1,flicker,1,0.000294330607789865
1,1,flight,1,0.0001489254450283529
1,1,flights,1,0.00033568135993481313
1,1,floor,1,8.218723656888599e-05
1,1,floors,1,0.0004353127238881856
1,1,flowering,1,0.00033568135993481313
1,1,flowers,3,0.00039165292037824566
1,1,flushed,1,0.00039396197174323754
1,1,flutes,1,0.00049359333569661
1,1,flying,1,0.00011426137175742464
1,1,foiled,1,0.00039396197174323754
1,1,folded,1,0.0002245448433043522
1,1,folk,9,0.00015497951297797547
1,1,folks,2,0.0006713627198696263
1,1,follow,3,0.00011944030847142704
1,1,followed,1,3.091960950604269e-05
1,1,fond,2,0.0005548014962527773
1,1,food,4,0.00018425554012441983
1,1,fool,3,0.0004668363717071182
1,1,for,85,0.0
1,1,foreign,1,0.0003618878365546989
1,1,forest,3,0.000374740438052939
1,1,forgave,1,0.0005932246996499825
1,1,forgive,2,0.00042778547142159433
1,1,forgot,1,0.00033568135993481313
1,1,forgotten,4,0.00018425554012441983
1,1,former,1,0.000294330607789865
1,1,forth,1,7.419975538088328e-05
1,1,forthcoming,1,0.0005932246996499825
1,1,fortune,1,0.0001305509734594152
1,1,forty,4,0.0009441999839257624
1,1,forward,1,2.5282115397607153e-05
1,1,found,8,3.7705063089255214e-05
1,1,fountains,2,0.0007237756731093978
1,1,four,3,0.00013819165509331487
1,1,free,4,0.0001971763242999215
1,1,friend,2,0.00011888897195751551
1,1,friendly,1,0.00021389273571079717
1,1,friends,4,0.00013529399871342715
1,1,frodo,58,0.0016282471025298407
1,1,from,33,0.0
1,1,front,5,0.0003906901010982181
1,1,full,6,0.00015169269238564292
1,1,fun,3,0.0008829918233695951
1,1,furniture,2,0.0007879239434864751
1,1,furry,1,0.0005932246996499825
1,1,further,3,0.00012871406426119228
1,1,g,2,0.0008706254477763712
1,1,gaffer,13,0.0025310901698744025
1,1,games,1,0.0005932246996499825
1,1,gamgee,4,0.0005957017801134116
1,1,gandalf,41,0.0007060177813441105
1,1,gape,1,0.00049359333569661
1,1,garden,6,0.0008935526701701174
1,1,gardeners,1,0.00049359333569661
1,1,garments,1,0.0002485568089817254
1,1,gate,6,0.00013526503287257706
1,1,gave,5,3.564474495617917e-05
1,1,generally,2,0.0007879239434864751
1,1,generation,1,0.00049359333569661
